"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
295,263,288,119,109,280,613,250,618,259,459,720,243,239,759
437,398,281,59,56,267,469,237,593,246,239,652,228,228,760
222,202,282,58,55,270,470,233,508,216,277,703,240,233,762
345,321,275,63,60,268,508,225,403,220,282,670,234,245,765
226,210,276,90,86,268,469,234,473,226,199,707,225,225,769
404,341,303,169,149,291,514,222,592,231,524,743,246,253,771
388,333,298,187,167,287,616,246,531,241,456,712,232,249,774
253,223,291,114,103,283,521,232,501,233,356,765,266,239,777
406,376,277,56,54,263,476,232,459,260,306,701,249,243,778
319,286,286,88,83,273,551,211,569,244,400,693,234,238,781
465,393,303,211,187,289,467,236,554,239,462,616,250,258,782
459,401,293,125,110,289,505,219,539,230,411,762,251,242,782
240,228,270,86,78,281,540,230,726,218,244,731,288,242,782
274,227,309,136,123,283,568,249,567,234,468,699,256,246,783
309,288,275,58,56,266,456,228,634,212,322,640,230,245,783
323,299,277,45,41,277,554,242,451,214,250,677,235,204,783
532,478,285,94,88,272,441,231,582,237,406,699,248,244,786
338,314,275,89,80,286,641,240,548,241,355,725,232,239,788
439,401,280,77,70,280,506,238,594,231,325,739,247,243,788
417,371,288,123,108,290,533,238,475,251,351,755,238,243,791
237,221,274,96,89,276,553,229,511,256,397,696,242,222,792
229,206,285,81,77,270,592,241,514,214,158,717,222,238,793
340,311,280,78,73,275,571,247,403,248,491,719,251,235,796
302,275,282,92,83,285,560,218,567,224,404,686,233,221,798
287,259,283,75,72,267,559,244,532,224,329,708,270,232,800
270,247,280,82,78,270,571,257,525,223,357,712,244,244,803
258,235,281,101,97,266,593,264,512,256,297,693,255,251,803
177,156,290,81,75,278,565,249,412,215,320,722,221,240,812
310,285,278,43,41,269,476,225,434,236,311,688,248,232,812
233,219,271,68,63,273,565,231,515,222,277,688,241,227,812
352,320,282,72,68,272,555,230,553,224,333,681,235,249,820
251,230,279,75,71,271,505,242,382,244,289,683,224,209,824
219,195,288,157,132,304,557,253,533,226,386,766,313,252,827
172,149,297,68,63,273,546,254,485,203,359,719,250,213,827
395,362,279,75,71,269,578,222,475,250,394,635,242,245,828
258,211,314,60,50,303,509,255,519,232,177,741,255,247,831
184,169,278,86,76,289,586,245,355,204,343,714,229,263,833
241,221,279,92,87,272,486,237,383,247,220,688,247,226,841
357,333,274,104,93,285,569,231,570,226,430,688,240,235,842
216,191,291,53,49,279,513,230,502,223,182,683,218,217,848
254,230,282,91,84,276,566,248,586,223,412,698,220,231,850
314,275,292,126,110,294,565,259,574,244,436,800,254,252,850
274,248,283,84,79,273,602,259,585,245,402,675,242,246,857
267,230,297,135,119,290,671,287,632,238,487,686,275,266,858
176,164,275,102,94,278,575,215,492,225,370,719,261,239,860
366,333,281,65,62,266,463,219,315,265,406,700,256,240,864
202,174,298,83,78,274,607,246,410,242,330,683,230,242,866
255,228,286,103,98,269,591,220,468,230,282,694,235,240,870
308,282,279,72,66,276,495,253,568,230,341,699,243,244,873
318,259,315,147,131,285,587,262,478,221,466,790,253,245,876
538,473,291,130,120,277,439,234,514,239,428,645,243,230,882
193,164,301,79,74,273,558,240,538,212,249,693,241,228,883
256,231,284,105,99,272,570,243,485,242,387,657,233,227,886
241,213,289,116,107,277,531,240,578,221,274,675,244,226,887
211,181,298,93,84,285,617,243,516,234,429,719,241,256,888
200,179,286,58,54,276,547,242,355,237,229,660,237,249,889
342,310,282,95,87,277,565,243,463,226,428,717,245,248,897
617,543,291,108,97,286,595,220,574,232,340,675,257,239,899
276,265,266,89,81,280,576,254,614,236,335,707,238,215,905
253,212,305,94,87,277,543,217,568,255,391,684,241,258,908
243,223,279,103,97,274,563,239,576,255,282,730,245,243,910
405,365,284,72,68,273,423,222,531,252,391,742,236,228,911
328,294,285,94,88,275,563,240,496,231,396,700,235,244,911
381,349,279,93,90,263,502,313,519,237,403,672,269,238,912
261,235,284,99,93,272,598,239,544,215,338,708,229,244,914
361,325,284,103,97,272,561,234,500,227,367,703,248,241,917
391,364,275,89,85,268,535,229,429,245,462,701,261,246,922
441,373,303,138,118,301,508,253,512,221,460,764,266,267,929
228,209,279,95,87,281,541,232,590,221,411,706,245,239,932
362,335,276,47,45,265,479,227,544,224,268,662,235,231,938
377,341,283,87,81,275,447,234,573,235,383,701,242,233,941
368,316,298,120,109,281,533,233,436,214,413,726,225,236,948
289,257,288,94,88,273,576,240,500,228,412,678,246,243,951
387,321,309,118,103,294,581,240,436,236,362,732,249,239,952
442,354,319,146,129,290,486,242,563,228,436,774,234,231,954
482,420,294,103,97,272,479,229,579,228,320,733,221,238,956
367,341,276,74,70,269,573,236,500,231,340,692,246,236,957
259,231,286,102,96,272,613,212,497,234,389,703,244,235,960
217,198,280,78,72,278,571,223,561,227,322,685,241,230,961
568,521,279,81,75,276,446,230,532,229,438,711,245,242,965
241,222,277,88,83,273,608,230,541,227,326,724,226,248,965
354,324,279,106,101,268,511,247,541,232,468,691,236,245,966
297,266,286,88,83,273,562,225,534,235,416,691,219,236,966
186,165,288,44,41,280,432,231,613,202,291,657,254,234,969
374,328,292,70,64,282,520,221,631,252,424,684,250,272,970
195,173,289,74,68,279,590,232,504,214,329,681,245,237,972
307,267,295,72,66,280,460,218,501,225,381,633,217,239,974
203,192,271,120,108,285,610,234,529,259,430,710,244,235,975
284,261,278,58,55,273,476,225,500,233,286,687,233,228,976
332,311,273,95,90,272,579,233,478,222,388,670,270,239,976
316,286,284,78,75,268,487,228,545,227,332,677,241,206,978
149,120,319,95,83,292,579,231,549,230,334,711,241,242,980
375,333,288,69,65,273,464,215,579,241,449,728,249,246,983
206,177,298,81,69,302,514,247,495,209,308,770,243,251,984
372,343,278,56,51,278,543,218,517,214,245,697,225,226,985
215,193,286,78,70,284,537,230,556,225,298,696,225,254,985
304,274,284,74,69,276,523,214,415,247,217,619,249,230,987
263,241,280,51,50,261,518,235,467,234,303,664,233,241,988
214,190,288,108,102,271,539,244,370,243,311,671,234,251,991
485,439,283,75,70,272,477,215,480,252,244,661,235,251,996
240,217,283,98,91,275,535,217,522,235,432,692,239,239,997
203,185,281,66,61,275,578,257,438,215,188,726,225,249,1001
344,322,273,80,77,265,522,251,393,239,205,690,219,242,1004
401,367,280,75,70,273,577,233,524,242,360,676,241,250,1006
242,216,286,124,113,282,635,223,593,242,433,712,276,240,1007
233,218,274,76,70,278,597,253,476,219,422,723,223,244,1007
360,326,283,97,90,275,466,220,569,251,274,710,261,223,1011
267,236,290,73,68,278,534,241,407,219,334,691,253,241,1012
236,212,285,84,78,275,579,231,489,225,325,680,234,243,1012
303,274,282,72,68,272,515,236,421,239,422,664,228,248,1014
338,308,281,66,55,308,441,232,603,217,295,663,236,250,1021
348,326,273,59,56,270,583,239,417,232,263,652,220,243,1023
207,177,300,111,104,275,547,230,578,225,423,690,238,246,1023
323,296,279,71,69,265,527,220,556,247,384,697,233,232,1023
324,290,286,78,73,273,432,247,415,219,192,759,226,235,1023
306,268,291,71,65,278,524,257,452,229,294,703,244,255,1023
284,241,302,100,80,321,479,250,466,237,464,739,238,249,1023
339,309,281,120,114,268,587,225,603,230,424,704,245,223,1023
522,434,308,126,111,290,459,240,555,235,402,793,239,231,1023
212,186,292,96,88,277,579,228,463,212,299,701,248,228,1023
332,284,299,88,74,306,498,233,621,224,353,754,248,224,1023
429,400,274,50,49,263,531,245,447,218,391,652,233,247,1023
361,328,282,92,89,267,566,236,560,233,338,687,237,222,1023
280,255,280,95,86,284,613,239,454,224,339,717,266,255,1023
236,220,275,89,84,273,516,227,422,218,289,727,250,238,1023
372,309,308,141,127,284,579,227,635,227,453,729,233,250,1023
452,385,301,90,82,284,515,237,604,224,345,684,242,226,1023
311,287,278,80,76,267,567,235,475,216,383,694,237,233,1023
