experiment,day,mouse,tx,cdiffstrain,absweight,relweight,diarrhea,cdiffcfu,death
ks53,1,15,3mnvc,st1.58,17.9,96.75675676,0,100000000,0
ks53,1,16,3mnvc,st1.58.vpi,18.4,100.5464481,0,145161290.3,0
ks53,1,17,3mnvc,st1.58.vpi,19.8,96.11650485,0,39583333.33,0
ks53,1,18,3mnvc,st1.58.vpi,20.2,108.0213904,0,137254902,0
ks53,1,19,3mnvc,st1.62,19.5,100,0,125000000,0
ks53,1,20,3mnvc,st1.62,17.9,105.9171598,0,142857142.9,0
ks53,1,21,3mnvc,st1.62,20.2,102.5380711,0,17592592.59,0
ks53,1,22,3mnvc,st1.62.vpi,17.8,100,0,103448275.9,0
ks53,1,23,3mnvc,st1.62.vpi,19.1,103.2432432,0,67441860.47,0
ks53,1,24,3mnvc,st1.62.vpi,18.6,98.93617021,0,121621621.6,0
ks53,1,25,3mnvc,st1.75.vpi,18.5,102.2099448,0,2192982.456,0
ks53,1,26,3mnvc,st1.75.vpi,17.1,96.06741573,0,75757575.76,0
ks53,1,27,3mnvc,st1.75.vpi,18.3,96.31578947,0,115384615.4,0
ks53,1,28,3mnvc,vpi,18.7,102.1857923,0,33750000,0
ks53,1,29,3mnvc,vpi,19,100,0,59523809.52,0
ks53,1,30,3mnvc,vpi,19.1,98.45360825,0,40277777.78,0
ks53,1,31,3mnvc,vpi,17.4,96.66666667,0,40625000,0
ks53,1,32,3mnvc,vpi,17.1,100,0,1613636.364,0
ks53,1,33,3mnvc,ui,19.5,105.4054054,0,0,0
ks53,2,1,3mnvc,st1.53,16.3,84.02061856,1,,0
ks53,2,2,3mnvc,st1.53,17.7,97.79005525,1,,0
ks53,2,3,3mnvc,st1.53,17.2,91.4893617,1,,0
ks53,2,4,3mnvc,st1.53.vpi,13.7,87.2611465,1,,0
ks53,2,5,3mnvc,st1.53.vpi,17.6,90.72164948,0,,0
ks53,2,6,3mnvc,st1.53.vpi,15.6,83.42245989,1,,0
ks53,2,7,3mnvc,st1.57,18.8,96.90721649,1,,0
ks53,2,8,3mnvc,st1.57,18.6,104.494382,0,,0
ks53,2,9,3mnvc,st1.57,17.8,97.8021978,0,,0
ks53,2,10,3mnvc,st1.57.vpi,18.2,98.37837838,1,,0
ks53,2,11,3mnvc,st1.57.vpi,18.9,99.47368421,0,,0
ks53,2,12,3mnvc,st1.57.vpi,17.4,95.08196721,1,,0
ks53,2,13,3mnvc,st1.58,17.3,86.5,1,,0
ks53,2,14,3mnvc,st1.58,17.2,92.47311828,0,,0
ks53,2,15,3mnvc,st1.58,16.1,87.02702703,1,,0
ks53,2,16,3mnvc,st1.58.vpi,14.8,80.87431694,1,,0
ks53,2,17,3mnvc,st1.58.vpi,17.5,84.95145631,1,,0
ks53,2,18,3mnvc,st1.58.vpi,18.4,98.39572193,1,,0
ks53,2,19,3mnvc,st1.62,16.5,84.61538462,1,,0
ks53,2,20,3mnvc,st1.62,16,94.67455621,1,,0
ks53,2,21,3mnvc,st1.62,18.1,91.87817259,1,,0
ks53,2,22,3mnvc,st1.62.vpi,15.4,86.51685393,1,,0
ks53,2,23,3mnvc,st1.62.vpi,17.4,94.05405405,1,,0
ks53,2,24,3mnvc,st1.62.vpi,15.8,84.04255319,1,,0
ks53,2,25,3mnvc,st1.75.vpi,16.5,91.16022099,0,,0
ks53,2,26,3mnvc,st1.75.vpi,17.4,97.75280899,0,,0
ks53,2,27,3mnvc,st1.75.vpi,17.3,91.05263158,0,,0
ks53,2,28,3mnvc,vpi,16.1,87.97814208,1,,0
ks53,2,29,3mnvc,vpi,16.1,84.73684211,1,,0
ks53,2,30,3mnvc,vpi,18.1,93.29896907,0,,0
ks53,2,31,3mnvc,vpi,16.4,91.11111111,1,,0
ks53,2,32,3mnvc,vpi,14.2,83.04093567,1,,0
ks53,2,33,3mnvc,ui,19.3,104.3243243,0,,0
ks53,3,1,3mnvc,st1.53,15.3,78.86597938,1,,0
ks53,3,2,3mnvc,st1.53,16,88.39779006,1,,0
ks53,3,3,3mnvc,st1.53,17.4,92.55319149,1,,0
ks53,3,4,3mnvc,st1.53.vpi,15.6,99.36305732,1,,0
ks53,3,5,3mnvc,st1.53.vpi,15.8,81.44329897,1,,0
ks53,3,6,3mnvc,st1.53.vpi,16.2,86.63101604,1,,0
ks53,3,7,3mnvc,st1.57,19.7,101.5463918,0,,0
ks53,3,8,3mnvc,st1.57,18.5,103.9325843,0,,0
ks53,3,9,3mnvc,st1.57,17.7,97.25274725,1,,0
ks53,3,10,3mnvc,st1.57.vpi,18.5,100,0,,0
ks53,3,11,3mnvc,st1.57.vpi,18.3,96.31578947,1,,0
ks53,3,12,3mnvc,st1.57.vpi,17.8,97.26775956,1,,0
ks53,3,13,3mnvc,st1.58,16.4,82,1,,0
ks53,3,14,3mnvc,st1.58,17.6,94.62365591,1,,0
ks53,3,15,3mnvc,st1.58,16.9,91.35135135,1,,0
ks53,3,16,3mnvc,st1.58.vpi,13.9,75.95628415,1,,0
ks53,3,17,3mnvc,st1.58.vpi,19.1,92.7184466,1,,0
ks53,3,18,3mnvc,st1.58.vpi,18.5,98.93048128,0,,0
ks53,3,19,3mnvc,st1.62,16.8,86.15384615,1,,0
ks53,3,20,3mnvc,st1.62,15.2,89.9408284,1,,0
ks53,3,21,3mnvc,st1.62,18.4,93.40101523,1,,0
ks53,3,22,3mnvc,st1.62.vpi,15.4,86.51685393,1,,0
ks53,3,23,3mnvc,st1.62.vpi,17,91.89189189,1,,0
ks53,3,24,3mnvc,st1.62.vpi,18,95.74468085,1,,0
ks53,3,25,3mnvc,st1.75.vpi,18.2,100.5524862,0,,0
ks53,3,26,3mnvc,st1.75.vpi,17.2,96.62921348,1,,0
ks53,3,27,3mnvc,st1.75.vpi,18.4,96.84210526,0,,0
ks53,3,28,3mnvc,vpi,16.9,92.34972678,1,,0
ks53,3,29,3mnvc,vpi,16.4,86.31578947,1,,0
ks53,3,30,3mnvc,vpi,17,87.62886598,1,,0
ks53,3,31,3mnvc,vpi,16,88.88888889,1,,0
ks53,3,32,3mnvc,vpi,13.3,77.77777778,1,,0
ks53,3,33,3mnvc,ui,18.8,101.6216216,0,,0
ks53,4,1,3mnvc,st1.53,16,82.4742268,1,,0
ks53,4,2,3mnvc,st1.53,14,77.3480663,1,,0
ks53,4,3,3mnvc,st1.53,16.2,86.17021277,0,,0
ks53,4,4,3mnvc,st1.53.vpi,14.6,92.99363057,1,,0
ks53,4,5,3mnvc,st1.53.vpi,13.8,71.13402062,1,,0
ks53,4,6,3mnvc,st1.53.vpi,15.9,85.02673797,1,,0
ks53,4,7,3mnvc,st1.57,18.9,97.42268041,0,,0
ks53,4,8,3mnvc,st1.57,15.7,88.20224719,1,,0
ks53,4,9,3mnvc,st1.57,17.6,96.7032967,0,,0
ks53,4,10,3mnvc,st1.57.vpi,18.2,98.37837838,0,,0
ks53,4,11,3mnvc,st1.57.vpi,17.9,94.21052632,1,,0
ks53,4,12,3mnvc,st1.57.vpi,17.7,96.72131148,0,,0
ks53,4,13,3mnvc,st1.58,15.8,79,1,,0
ks53,4,14,3mnvc,st1.58,16.9,90.86021505,0,,0
ks53,4,15,3mnvc,st1.58,17.1,92.43243243,0,,0
